City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,broken hill,-31.95,141.4333,13.43,65,1,3.63,AU,1684016190
167,mejit,10.2753,170.8646,27.55,81,65,7.77,MH,1684016005
168,susangerd,31.5608,48.1831,30.91,19,2,7.66,IR,1684016191
169,takanosu,40.2219,140.3694,14.9,71,97,0.96,JP,1684016191
170,auki,-8.7676,160.7034,28.09,77,70,1.1,SB,1684016122
171,shurugwi,-19.6702,30.0059,13.61,57,39,1.31,ZW,1684016192
172,stanley,54.868,-1.6985,7.66,91,0,1.03,GB,1684015838
173,tamanrasset,22.785,5.5228,24.95,33,36,7.2,DZ,1684016051
174,novoshakhtinskiy,44.025,132.1514,12.94,80,100,4.42,RU,1684016185
175,nizhneudinsk,54.9076,99.0276,-2.62,78,65,2.09,RU,1684016194
176,east london,-33.0153,27.9116,15.59,95,100,0.79,ZA,1684015825
177,taganrog,47.2362,38.8969,13.66,68,100,3.5,RU,1684016194
178,bonthe,7.5264,-12.505,27.79,82,100,3.02,SL,1684016194
179,fortuna,40.5982,-124.1573,18.14,91,0,5.66,US,1684015862
180,rikaze,29.25,88.8833,4.46,32,1,1.55,CN,1684015986
181,tambacounda,13.7539,-13.7586,36.03,28,0,3.09,SN,1684016195
182,priargunsk,50.3691,119.1012,9.81,71,80,2.37,RU,1684016195
183,nchelenge,-9.3451,28.734,20.94,74,37,1.67,ZM,1684016196
184,yung shue wan,22.2333,114.1167,21.43,92,100,3.47,HK,1684016196
185,rhinelander,45.6366,-89.4121,23.18,25,0,4.12,US,1684016186
186,pechora,65.1472,57.2244,-2.53,91,98,3.2,RU,1684015902
187,archangelos,36.2149,28.1149,16.99,79,2,6.68,GR,1684016197
188,gobabis,-22.45,18.9667,20.76,29,96,3.05,NA,1684015981
189,ghazni,33.5536,68.4269,12.73,55,70,2.98,AF,1684016197
190,coro,11.4045,-69.6734,28.56,76,50,8.65,VE,1684016198
191,paita,-5.0892,-81.1144,25.85,74,22,6.28,PE,1684016198
192,howard springs,-12.497,131.047,20.95,76,100,2.78,AU,1684015845
193,tshabong,-26.05,22.45,14.31,34,13,3.71,BW,1684016198
194,taseyevo,57.2169,94.8978,-4.16,69,7,1.76,RU,1684016199
195,cidade velha,14.9167,-23.6167,23.26,73,75,5.66,CV,1684016199
196,taiynsha,53.8478,69.7639,2.46,98,100,5.93,KZ,1684016199
197,tadine,-21.55,167.8833,23.84,67,98,8.83,NC,1684016200
198,manpur,22.4333,75.6167,29.82,30,0,7.41,IN,1684016200
199,pico truncado,-46.7949,-67.9573,12.82,60,100,7.97,AR,1684016200
